##万󠄂	「一／ぼう」
##重複##違󠄂	「二点しんにょう＋幃のつくり」
遘󠄁	「遘」の「冉」に代えて「冉の4画目左右に突き出る」
遜󠄁	「二点しんにょうの遜」
遠󠄁	「二点しんにょうの遠」
遡󠄁	「二点しんにょうの遡」
遣󠄁	「二点しんにょうの遣」
遭󠄁	「二点しんにょうの遭」
遮󠄁	「二点しんにょうの遮」
遵󠄁	「二点しんにょう＋墫のつくり」
遷󠄁	「二点しんにょう＋僊のつくり」の「価のつくり」に代えて「襾」
選󠄁	「二点しんにょう＋饌のつくり」
遺󠄁	「二点しんにょうの遺」
遼󠄁	「二点しんにょうの遼」
避󠄁	「二点しんにょうの避」
邃󠄁	「邃」の「隊のつくり」に代えて「燧－火－二点しんにょう」
還󠄁	「二点しんにょうの還」
那󠄁	「那」の「二」に代えて「はみ出た横棒二本」
邪󠄁	「呀のつくり＋おおざと」
##重複##邪󠄂	「呀のつくり＋おおざと」
郷󠄁	「郷」の「即のへん」に代えて「皀」
鄭󠄁	「鄭」の「酋」に代えて「鰌のつくり」
酋󠄁	「鰌のつくり」
酌󠄁	「酉＋(勹＜一)」
酷󠄁	「酉＋晧のつくり」
采󠄁	「綵のつくり」
釣󠄁	「金＋(勹＜一)」
錆󠄁	「金＋睛のつくり」
鎌󠄁	「金＋賺のつくり」
鎖󠄁	「金＋瑣のつくり」
鎚󠄁	「二点しんにょうの鎚」
鑓󠄁	「二点しんにょうの鑓」
隆󠄁	「こざとへん＋（嶐－山）」
隊󠄁	「隧－二点しんにょう」
隔󠄁	「隔」の「儿」に代えて「希－布」
隣󠄁	「こざとへん＋鄰のへん」
雅󠄂	「呀のつくり＋隹」
雇󠄁	「雇」の「戸」に代えて「戸の旧字」
難󠄀	「攤－てへん」
雪󠄁	「膤のつくり」
雰󠄁	「雨かんむり／扮のつくり」
靭󠄁	「革＋仞のつくり」
靴󠄁	「訛」の「言」に代えて「革」
鞄󠄁	「革＋鉋のつくり」
鞘󠄁	「革＋悄のつくり」
韓󠄁	「朝のへん＋幃のつくり」
響󠄁	「響」の「即のへん」に代えて「喞－口－卩」
頤󠄁	「熙－れんが」の「巳」に代えて「頁」
頻󠄀	「陟のつくり＋頁」
類󠄀	「類」の「大」に代えて「犬」
顧󠄁	「顧」の「戸」に代えて「戸の旧字」
食󠄁	「餮－殄」
飢󠄁	「飮のへん＋几」
飴󠄁	「飮のへん＋台」
飽󠄁	「飮のへん＋鉋のつくり」
飾󠄁	「飾」の「飲のへん」に代えて「飮のへん」
餅󠄁	「飮のへん＋并」
養󠄁	「癢－やまいだれ」
餌󠄁	「飮のへん＋耳」
餠󠄂	「飲のへん＋餠のつくり」
餐󠄁	「粲」の「米」に代えて「餮－殄」
餓󠄁	「飮のへん＋我」
饅󠄁	「飲のへん＋曼」
饗󠄂	「(「郷」の「即のへん」に代えて「喞－口－卩」)／(餮－殄)」
饗󠄃	「(「郷」の「即のへん」に代えて「皀」)／(餮－殄)」
馰󠄂	「馬＋勺」
駐󠄁	「馬＋(麈－鹿)」
騙󠄁	「騙」の「戸」に代えて「戸の旧字」
騰󠄁	「縢」の「糸」に代えて「馬」
魔󠄁	「麾」の「毛」に代えて「鬼」
鮫󠄀	「魚＋交」
鯖󠄁	「魚＋睛のつくり」
鯛󠄁	「魚＋蜩のつくり」
鯱󠄁	「魚＋虎」の「儿」に代えて「几」
鰯󠄁	「魚＋嫋のつくり」
鱈󠄁	「魚＋膤のつくり」
鱒󠄁	「魚＋墫のつくり」
鱗󠄁	「魚＋鄰のへん」
鴉󠄁	「呀のつくり＋鳥」
鵠󠄁	「晧のつくり＋酉」
鵬󠄁	「(萠－くさかんむり)＋鳥」
鶴󠄀	「寉＋鳥」
鷀󠄁	「茲＋鳥」
麟󠄁	「鹿＋鄰のへん」
麩󠄂	「麥＋夫」
麻󠄁	「嘛のつくり」
麻󠄁	「麾－毛」
麿󠄁	「麾」の「毛」に代えて「呂」
黛󠄁	「黨」の「尚」に代えて「代」
鼻󠄁	「鼾のへん」
